고유번호,사용여부,브랜드,제품명,단계,정가,판매가,올리브영링크,제형,피부타입,고민,상황,이런분께,핵심포인트,태그
anua-heartleaf-77-toner,Y,Anua,어성초 77 수딩 토너,토너,30500,21350,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=어성초+77+수딩+토너,가벼움,민감성,진정,야근 / 데일리 / 여행,트러블·민감성 피부,어성초 추출물 77% 함유로 빠른 홍조 및 트러블 진정,#아누아
,Y,ROUND LAB,1025 독도 토너,토너,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=1025+독도+토너,,,수분 / 결,,각질·수분 피부,순한 각질 케어 및 유수분 밸런스 조절,#라운드랩
,Y,BRING GREEN,티트리 시카 수딩 토너,토너,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=티트리+시카+수딩+토너,,지성,진정,,지성·트러블 피부,티트리와 시카로 산뜻한 진정 및 피지 케어,#브링그린
,Y,Torriden,다이브인 저분자 히알루론산 토너,토너,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=다이브인+저분자+히알루론산+토너,,수부지,수분,,수부지·속건조 피부,끈적임 없이 수분길을 열어주는 부스팅 효과,#토리든
,Y,numbuzin,3번 결광가득 에센스 토너,토너,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=3번+결광가득+에센스+토너,,,미백 / 결,,칙칙함·푸석함 피부,발효 성분으로 피부결 정돈 및 광채 부여,#넘버즈인
,Y,LANEIGE,크림 스킨,토너,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=라네즈+크림+스킨,,건성,수분,,건성·귀차니즘 피부,크림을 토너에 녹여 스킨 하나로 강력한 보습 완성,#라네즈
,Y,COSRX,풀핏 프로폴리스 시너지 토너,토너,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=풀핏+프로폴리스+시너지+토너,,,수분,,영양·건조 피부,프로폴리스 추출물로 쫀쫀한 꿀광 영양감,#코스알엑스
,Y,ma:nyo,비피다 바이옴 앰플 토너,토너,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=비피다+바이옴+앰플+토너,,,진정,,장벽약화 피부,장벽 강화와 수분 공급을 동시에 해결,#마녀공장
,Y,ISNTREE,초저분자 히알루론산 토너,토너,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=초저분자+히알루론산+토너,,건성,수분,,극건성 피부,깊고 빠른 수분 충전으로 속당김 해소,#이즈앤트리
,Y,AESTURA,에이시카365 진정 토너,토너,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=에이시카365+진정+토너,,민감성,진정,,극민감성 피부,화솜 마찰을 줄인 부드러운 수분 진정,#에스트라
torriden-dive-in-serum,Y,Torriden,다이브인 저분자 히알루론산 세럼,세럼,22000,15400,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=다이브인+저분자+히알루론산+세럼,가벼움,수부지,수분,데이트 / 데일리 / 여행 / 야근,수부지·속건조 피부,3초 수분 충전 1위 세럼,#토리든
goodal-green-tangerine-serum,Y,goodal,청귤 비타C 잡티 케어 세럼,세럼,28000,21000,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=청귤+비타C+잡티+케어+세럼,가벼움,,미백,데이트 / 데일리 / 야근,잡티·칙칙함 피부,저자극 비타민C 유도체로 순한 잡티 케어,#구달
isoi-blemish-care-up-serum,Y,isoi,블레미쉬 케어 업 세럼,세럼,54000,43200,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=블레미쉬+케어+업+세럼,쫀쫀함,,미백,야근 / 데이트,색소침착·잡티 피부,불가리안 로즈 오일 함유 프리미엄 흔적 세럼,#아이소이
,Y,VT,리들샷 100,세럼,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=브이티+리들샷+100,,,결,,모공·결개선 피부,미세침 성분(시카리들)으로 유효성분 흡수 촉진,#브이티
,Y,numbuzin,5번 글루타치온C 흔적 앰플,세럼,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=5번+글루타치온C+흔적+앰플,,,미백,,기미·주근깨 피부,강력한 미백 성분으로 전방위 흔적 케어,#넘버즈인
,Y,WELLAGE,리얼 히알루로닉 100 앰플,세럼,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=리얼+히알루로닉+100+앰플,,,수분,,건조함 피부,순도 100% 히알루론산으로 확실한 보습,#웰라쥬
,Y,innisfree,레티놀 시카 흔적 앰플,세럼,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=레티놀+시카+흔적+앰플,,,진정 / 결,,트러블흔적·모공 피부,레티놀 초심자도 매일 쓰는 순한 트러블 케어,#이니스프리
,Y,SKINFOOD,로열허니 프로폴리스 인리치 에센스,세럼,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=로열허니+프로폴리스+인리치+에센스,,,수분 / 결,,영양부족·푸석함 피부,농축된 프로폴리스로 꿀광 피부 완성,#스킨푸드
,Y,COSRX,더 비타민 씨 23 세럼,세럼,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=더+비타민+씨+23+세럼,,,미백 / 탄력,,탄력·미백 피부,고강도 순수 비타민C로 확실한 안티에이징,#코스알엑스
,Y,AESTURA,에이시카365 흔적 진정 세럼,세럼,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=에이시카365+흔적+진정+세럼,,민감성,진정,,민감성·흔적 피부,민감 피부의 진정과 잡티를 한 번에 케어,#에스트라
,Y,ma:nyo,갈락 나이아신 2.0 에센스,세럼,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=갈락+나이아신+2.0+에센스,,,미백 / 결,,칙칙한톤·요철 피부,맑고 투명한 피부톤과 매끈한 결 케어,#마녀공장
,Y,ROUND LAB,소나무 진정 시카 앰플,세럼,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=소나무+진정+시카+앰플,,민감성,진정,,민감성·열감 피부,소나무 잎 추출물로 자극받은 피부 강력 진정,#라운드랩
,Y,MEDIHEAL,티트리 진정 수분 앰플,세럼,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=티트리+진정+수분+앰플,,지성,진정,,트러블·지성 피부,끈적임 없이 산뜻한 50초 급속 진정,#메디힐
,Y,CNP,프로폴리스 에너지 앰플,세럼,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=프로폴리스+에너지+앰플,,,수분,,생기부족·건조 피부,피부 윤기와 보습을 챙겨주는 꿀광 앰플의 원조,
,Y,SUNGBOON EDITOR,그린토마토 포어 리프팅 앰플,세럼,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=그린토마토+포어+리프팅+앰플,,,결 / 탄력,,모공늘어짐 피부,가로/세로/멜라닌 모공까지 3중 복합 케어,#성분에디터
,Y,AESTURA,아토베리어365 로션,로션,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=아토베리어365+로션,,건성,수분 / 진정,,건성·장벽약화 피부,크림보다 가볍지만 강력한 고보습 세라마이드,#에스트라
illiyoon-ceramide-ato-lotion,Y,illiyoon,세라마이드 아토 로션,로션,5000,4500,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=세라마이드+아토+로션,보통,건성,수분,여행 / 데일리,전신·극건성 피부,온 가족이 쓰는 순한 무향 바디겸용 보습,#일리윤
,Y,PHYSIOGEL,DMT 페이셜 로션,로션,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=DMT+페이셜+로션,,민감성,수분 / 진정,,민감성·건조 피부,피부 본연의 보습막을 강화하는 베이직 로션,#피지오겔
,Y,ROUND LAB,1025 독도 로션,로션,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=1025+독도+로션,,민감성 / 수부지,수분 / 진정,,수부지·민감성 피부,산뜻하게 수분만 채워주는 유수분 밸런스 조절,#라운드랩
,Y,LANEIGE,워터뱅크 블루 히알루로닉 에멀전,로션,,,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=워터뱅크+블루+히알루로닉+에멀전,,,수분,,건조함 피부,미세 히알루론산으로 겉보습과 속보습 듀얼 케어,#라네즈
drg-red-blemish-soothing-cream,Y,Dr.G,레드 블레미쉬 클리어 수딩 크림,크림,38000,22800,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=레드+블레미쉬+클리어+수딩+크림,보통,지성,진정,여행 / 야근 / 데일리,지성·트러블 피부,끈적임 없이 열감을 낮춰주는 수분 젤 크림 1위,#닥터지
aestura-atobarrier365-cream,Y,AESTURA,아토베리어365 크림,크림,31000,24800,https://www.oliveyoung.co.kr/store/search/getSearchMain.do?query=아토베리어365+크림,쫀쫀함,건성,수분 / 진정,데이트 / 데일리 / 야근,건성·장벽파괴 피부,캡슐 세라마이드가 녹아드는 철벽 보습,#에스트라
